Name,Type,Category,Effect,Power,Acc,PP
Miracle Eye,Psychic,Status,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",-,-,40
Mirror Coat,Psychic,Special,"When hit by a Special Attack, user strikes back with 2x power.",-,100,20
Mirror Move,Flying,Status,User performs the opponent's last move.,-,-,20
Mirror Shot,Steel,Special,May lower opponent's Accuracy.,65,85,10
Mist,Ice,Status,User's stats cannot be changed for a period of time.,-,-,30
Mist Ball,Psychic,Status,May lower opponent's Special Attack.,70,100,5
Misty Terrain,Fairy,Status,Protects the field from status conditions for 5 turns.,-,-,10
Moonblast,Fairy,Special,May lower opponent's Special Attack.,95,100,15
Moongeist Beam,Ghost,Special,Ignores the target's ability.,100,100,5
Moonlight,Fairy,Status,User recovers HP. Amount varies with the weather.,-,-,5
Morning Sun,Normal,Status,User recovers HP. Amount varies with the weather.,-,-,5
Mud Bomb,Ground,Special,May lower opponent's Accuracy.,65,85,10
Mud Shot,Ground,Special,Lowers opponent's Speed.,55,95,15
Mud Sport,Ground,Status,Weakens the power of Electric-type moves.,-,-,15
Muddy Water,Water,Special,May lower opponent's Accuracy.,90,85,10
Mud-Slap,Ground,Special,Lowers opponent's Accuracy.,20,100,10
Multi-Attack,Normal,Physical,Type matches user's current type.,90,100,10
Mystical Fire,Fire,Special,Lowers opponent's Special Attack.,75,100,10
Nasty Plot,Dark,Status,Sharply raises user's Special Attack.,-,-,20
Natural Gift,Normal,Physical,Power and type depend on the user's held berry.,-,100,15
Nature Power,Normal,Status,Uses a certain move based on the current terrain.,-,-,20
Nature's Madness,Fairy,Special,Halves the foe's HP.,-,90,10
Needle Arm,Grass,Physical,May cause flinching.,60,100,15
Never-Ending Nightmare,Ghost,Z-Move,Ghost type Z-Move.,-,-,1
Night Daze,Dark,Special,May lower opponent's Accuracy.,85,95,10
Night Shade,Ghost,Special,Inflicts damage equal to user's level.,-,100,15
Night Slash,Dark,Physical,High critical hit ratio.,70,100,15
Nightmare,Ghost,Status,The sleeping opponent loses 25% of its max HP each turn.,-,100,15
Noble Roar,Normal,Status,Lowers opponent's Attack and Special Attack.,-,100,30
Nuzzle,Electric,Physical,Paralyzes opponent.,20,100,20
Oblivion Wing,Flying,Special,User recovers most of the HP inflicted on opponent.,80,100,10
Oceanic Operetta,Water,Special,Primarina-exclusive Z-Move.,195,-,1
Octazooka,Water,Special,May lower opponent's Accuracy.,65,85,10
Odor Sleuth,Normal,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",-,-,40
Ominous Wind,Ghost,Special,May raise all user's stats at once.,60,100,5
Origin Pulse,Water,Special,Hits all adjacent opponents.,110,85,10
Outrage,Dragon,Physical,User attacks for 2-3 turns but then becomes confused.,120,100,10
Overheat,Fire,Special,Sharply lowers user's Special Attack.,130,90,5
Pain Split,Normal,Status,The user's and opponent's HP becomes the average of both.,-,-,20
Parabolic Charge,Electric,Special,User recovers half the HP inflicted on opponent.,65,100,20
Parting Shot,Dark,Status,Lowers opponent's Attack and Special Attack then switches out. ,-,100,20
Pay Day,Normal,Physical,A small amount of money is gained after the battle resolves.,40,100,20
Payback,Dark,Physical,Power doubles if the user was attacked first.,50,100,10
Peck,Flying,Physical,,35,100,35
Perish Song,Normal,Status,Any Pokémon in play when this attack is used faints in 3 turns.,-,-,5
Petal Blizzard,Grass,Physical,Hits all adjacent Pokémon.,90,100,15
Petal Dance,Grass,Special,User attacks for 2-3 turns but then becomes confused.,120,100,10
Phantom Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",90,100,10
Photon Geyser,Psychic,Special,"Uses Attack or Special Attack stat, whichever is higher.",100,100,5
Pika Papow,Electric,Special,Power increases when player's bond is stronger.,-,∞,20
Pin Missile,Bug,Physical,Hits 2-5 times in one turn.,25,95,20
Plasma Fists,Electric,Physical,Changes Normal-type moves to Electric-type moves.,100,100,15
Play Nice,Normal,Status,Lowers opponent's Attack. Always hits.,-,-,20
Play Rough,Fairy,Physical,May lower opponent's Attack.,90,90,10
Pluck,Flying,Physical,"If the opponent is holding a berry, its effect is stolen by user.",60,100,20
Poison Fang,Poison,Physical,May badly poison opponent.,50,100,15
Poison Gas,Poison,Status,Poisons opponent.,-,90,40
Poison Jab,Poison,Physical,May poison the opponent.,80,100,20
Poison Powder,Poison,Status,Poisons opponent.,-,75,35
Poison Sting,Poison,Physical,May poison the opponent.,15,100,35
Poison Tail,Poison,Physical,High critical hit ratio. May poison opponent.,50,100,25
Pollen Puff,Bug,Special,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.",90,100,15
Pound,Normal,Physical,,40,100,35
Powder,Bug,Status,Damages Pokémon using Fire type moves.,-,100,20
Powder Snow,Ice,Special,May freeze opponent.,40,100,25
Power Gem,Rock,Special,,80,100,20
Power Split,Psychic,Status,Averages Attack and Special Attack with the target.,-,-,10
Power Swap,Psychic,Status,User and opponent swap Attack and Special Attack.,-,-,10
Power Trick,Psychic,Status,User's own Attack and Defense switch.,-,-,10
Power Trip,Dark,Physical,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",20,100,10
Power Whip,Grass,Physical,,120,85,10
Power-Up Punch,Fighting,Physical,Raises Attack.,40,100,10
Precipice Blades,Ground,Physical,Hits all adjacent opponents.,120,85,10
Present,Normal,Physical,Either deals damage or heals.,-,90,15
Prismatic Laser,Psychic,Special,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,160,100,10
Protect,Normal,Status,"Protects the user, but may fail if used consecutively.",-,-,10
Psybeam,Psychic,Special,May confuse opponent.,65,100,20
Psych Up,Normal,Status,Copies the opponent's stat changes.,-,-,10
Psychic,Psychic,Status,May lower opponent's Special Defense.,90,100,10
Psychic Fangs,Psychic,Physical,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,85,100,10
Psychic Terrain,Psychic,Status,Prevents priority moves from being used for 5 turns.,-,-,10
Psycho Boost,Psychic,Special,Sharply lowers user's Special Attack.,140,90,5
Psycho Cut,Psychic,Physical,High critical hit ratio.,70,100,20
Psycho Shift,Psychic,Status,"Gives the opponent the user's status condition, if it hits.",-,90,10
Psyshock,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense.",80,100,10
Psystrike,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense.",100,100,10
Psywave,Psychic,Special,Inflicts damage 50-150% of user's level.,-,80,15
Pulverizing Pancake,Normal,Physical,Snorlax-exclusive Normal type Z-Move.,210,-,1
Punishment,Dark,Physical,Power increases when opponent's stats have been raised.,-,100,5
Purify,Poison,Status,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",-,-,20
Pursuit,Dark,Physical,Double power if the opponent is switching out.,40,100,20
Quash,Dark,Status,Makes the target act last this turn.,-,100,15
Quick Attack,Normal,Physical,User attacks first.,40,100,30
Quick Guard,Fighting,Status,Protects the user's team from high-priority moves.,-,-,15
Quiver Dance,Bug,Status,"Raises user's Special Attack, Special Defense and Speed.",-,-,20
Rage,Normal,Physical,Raises user's Attack when hit.,20,100,20
Rage Powder,Bug,Status,"Forces attacks to hit user, not team-mates.",-,-,20
Rain Dance,Water,Status,Makes it rain for 5 turns.,-,-,5
Rapid Spin,Normal,Physical,Removes effects of trap moves.,20,100,40
Razor Leaf,Grass,Physical,High critical hit ratio.,55,95,25
Razor Shell,Water,Physical,May lower opponent's Defense.,75,95,10
Razor Wind,Normal,Special,"Charges on first turn, attacks on second. High critical hit ratio.",80,100,10
Recover,Normal,Status,User recovers half its max HP.,-,-,10
Recycle,Normal,Status,User's used hold item is restored.,-,-,10
Reflect,Psychic,Status,Halves damage from Physical attacks for 5 turns.,-,-,20
Reflect Type,Normal,Status,User becomes the target's type.,-,-,15
Refresh,Normal,Status,"Cures paralysis, poison, and burns.",-,-,20
Relic Song,Normal,Special,May put the target to sleep.,75,100,10
Rest,Psychic,Status,"User sleeps for 2 turns, but user is fully healed.",-,-,10
Retaliate,Normal,Physical,Inflicts double damage if a teammate fainted on the last turn.,70,100,5
Return,Normal,Physical,Power increases with higher Friendship.,-,100,20
Revelation Dance,Normal,Status,Type changes based on Oricorio's form.,90,100,15
Revenge,Fighting,Physical,Power increases if user was hit first.,60,100,10
Reversal,Fighting,Physical,"The lower the user's HP, the higher the power.",-,100,15
Roar,Normal,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",-,-,20
Roar of Time,Dragon,Special,User must recharge next turn.,150,90,5
Rock Blast,Rock,Physical,Hits 2-5 times in one turn.,25,90,10
Rock Climb,Normal,Physical,May confuse opponent.,90,85,20
Rock Polish,Rock,Status,Sharply raises user's Speed.,-,-,20
Rock Slide,Rock,Physical,May cause flinching.,75,90,10
Rock Smash,Fighting,Physical,May lower opponent's Defense.,40,100,15
Rock Throw,Rock,Physical,,50,90,15
Rock Tomb,Rock,Physical,Lowers opponent's Speed.,60,95,15
Rock Wrecker,Rock,Physical,User must recharge next turn.,150,90,5
Role Play,Psychic,Status,User copies the opponent's Ability.,-,-,15
Rolling Kick,Fighting,Physical,May cause flinching.,60,85,15
Rollout,Rock,Physical,Doubles in power each turn for 5 turns.,30,90,20
Roost,Flying,Status,User recovers half of its max HP and loses the Flying type temporarily.,-,-,10
Rototiller,Ground,Status,Raises Attack and Special Attack of Grass-types.,-,-,10
Round,Normal,Special,Power increases if teammates use it in the same turn.,60,100,15
Sacred Fire,Fire,Physical,May burn opponent.,100,95,5
Sacred Sword,Fighting,Physical,Ignores opponent's stat changes.,90,100,20
Safeguard,Normal,Status,The user's party is protected from status conditions.,-,-,25
Sand Attack,Ground,Status,Lowers opponent's Accuracy.,-,100,15
Sand Tomb,Ground,Physical,"Traps opponent, damaging them for 4-5 turns.",35,85,15
Sandstorm,Rock,Status,Creates a sandstorm for 5 turns.,-,-,10
Sappy Seed,Grass,Physical,Drains HP from opponent each turn.,90,100,15
Savage Spin-Out,Bug,Z-Move,Bug type Z-Move.,-,-,1
Scald,Water,Special,May burn opponent.,80,100,15
Scary Face,Normal,Status,Sharply lowers opponent's Speed.,-,100,10
Scratch,Normal,Physical,,40,100,35
Screech,Normal,Status,Sharply lowers opponent's Defense.,-,85,40
Searing Shot,Fire,Special,May burn opponent.,100,100,5
Searing Sunraze Smash,Steel,Physical,Solgaleo-exclusive Z-Move.,200,-,1
Secret Power,Normal,Physical,Effects of the attack vary with the location.,70,100,20
Secret Sword,Fighting,Special,"Inflicts damage based on the target's Defense, not Special Defense.",85,100,10
Seed Bomb,Grass,Physical,,80,100,15
Seed Flare,Grass,Special,May lower opponent's Special Defense.,120,85,5
Seismic Toss,Fighting,Physical,Inflicts damage equal to user's level.,-,100,20
Self-Destruct,Normal,Physical,User faints.,200,100,5
Shadow Ball,Ghost,Special,May lower opponent's Special Defense.,80,100,15
Shadow Bone,Ghost,Physical,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.,85,100,10
Shadow Claw,Ghost,Physical,High critical hit ratio.,70,100,15
Shadow Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",120,100,5
Shadow Punch,Ghost,Physical,Ignores Accuracy and Evasiveness.,60,∞,20
Shadow Sneak,Ghost,Physical,User attacks first.,40,100,30
Sharpen,Normal,Status,Raises user's Attack.,-,-,30
Shattered Psyche,Psychic,Z-Move,Psychic type Z-Move.,-,-,1
Sheer Cold,Ice,Special,"One-Hit-KO, if it hits.",-,-,5
Shell Smash,Normal,Status,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",-,-,15
Shell Trap,Fire,Special,Deals more damage to opponent if hit by a Physical move.,150,100,5
Shift Gear,Steel,Status,Raises user's Attack and sharply raises Speed.,-,-,10
Shock Wave,Electric,Special,Ignores Accuracy and Evasiveness.,60,∞,20
Shore Up,Ground,Status,The user regains up to half of its max HP. It restores more HP in a sandstorm.,-,-,10
Signal Beam,Bug,Special,May confuse opponent.,75,100,15
Silver Wind,Bug,Special,May raise all stats of user at once.,60,100,5
Simple Beam,Normal,Status,Changes target's ability to Simple.,-,100,15
Sing,Normal,Status,Puts opponent to sleep.,-,55,15
Sinister Arrow Raid,Ghost,Physical,Decidueye-exclusive Z-Move.,180,-,1
Sizzly Slide,Fire,Physical,Burns the opponent.,90,100,15
Sketch,Normal,Status,Permanently copies the opponent's last move.,-,-,1
Skill Swap,Psychic,Status,The user swaps Abilities with the opponent.,-,-,10
Skull Bash,Normal,Physical,"Raises Defense on first turn, attacks on second.",130,100,10
Sky Attack,Flying,Physical,"Charges on first turn, attacks on second. May cause flinching.",140,90,5
Sky Drop,Flying,Physical,"Takes opponent into the air on first turn, drops them on second turn.",60,100,10
Sky Uppercut,Fighting,Physical,"Hits the opponent, even during Fly.",85,90,15
Slack Off,Normal,Status,User recovers half its max HP.,-,-,10
Slam,Normal,Physical,,80,75,20
Slash,Normal,Physical,High critical hit ratio.,70,100,20
Sleep Powder,Grass,Status,Puts opponent to sleep.,-,75,15
Sleep Talk,Normal,Status,User performs one of its own moves while sleeping.,-,-,10
Sludge,Poison,Special,May poison opponent.,65,100,20
Sludge Bomb,Poison,Special,May poison opponent.,90,100,10
Sludge Wave,Poison,Special,May poison opponent.,95,100,10
Smack Down,Rock,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,50,100,15
Smart Strike,Steel,Physical,The user stabs the target with a sharp horn. This attack never misses.,70,-,10
Smelling Salts,Normal,Physical,"Power doubles if opponent is paralyzed, but cures it.",70,100,10
Smog,Poison,Special,May poison opponent.,30,70,20
Smokescreen,Normal,Status,Lowers opponent's Accuracy.,-,100,20
Snarl,Dark,Special,Lowers opponent's Special Attack.,55,95,15
Snatch,Dark,Status,Steals the effects of the opponent's next move.,-,-,10
Snore,Normal,Special,Can only be used if asleep. May cause flinching.,50,100,15
Soak,Water,Status,Changes the target's type to water.,-,100,20
Soft-Boiled,Normal,Status,User recovers half its max HP.,-,-,10
Solar Beam,Grass,Special,"Charges on first turn, attacks on second.",120,100,10
Solar Blade,Grass,Physical,"Charges on first turn, attacks on second.",125,100,10
Sonic Boom,Normal,Special,Always inflicts 20 HP.,-,90,20
Soul-Stealing 7-Star Strike,Ghost,Physical,Marshadow-exclusive Z-Move.,195,-,1
Spacial Rend,Dragon,Special,High critical hit ratio.,100,95,5
Spark,Electric,Physical,May paralyze opponent.,65,100,20
Sparkling Aria,Water,Special,Heals the burns of its target.,90,100,10
Sparkly Swirl,Fairy,Special,Cures all status problems in the party Pokémon.,90,100,15
Spectral Thief,Ghost,Physical,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",90,100,10
Speed Swap,Psychic,Status,The user exchanges Speed stats with the target.,-,-,10
Spider Web,Bug,Status,Opponent cannot escape/switch.,-,-,10
Spike Cannon,Normal,Physical,Hits 2-5 times in one turn.,20,100,15
Spikes,Ground,Status,Hurts opponents when they switch into battle.,-,-,20
Spiky Shield,Grass,Status,Protects the user and inflicts damage on contact.,-,-,10
Spirit Shackle,Ghost,Physical,Prevents the opponent switching out.,80,100,10
Spit Up,Normal,Special,Power depends on how many times the user performed Stockpile.,-,100,10
Spite,Ghost,Status,The opponent's last move loses 2-5 PP.,-,100,10
Splash,Normal,Status,Doesn't do ANYTHING.,-,-,40
Splintered Stormshards,Rock,Physical,Lycanroc-exclusive Z-Move.,190,-,1
Splishy Splash,Water,Special,May paralyze opponent.,90,100,15
Spore,Grass,Status,Puts opponent to sleep.,-,100,15
Spotlight,Normal,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.,-,-,15
Stealth Rock,Rock,Status,Damages opponent switching into battle.,-,-,20
Steam Eruption,Water,Special,May burn opponent.,110,95,5
Steamroller,Bug,Physical,May cause flinching.,65,100,20
Steel Wing,Steel,Physical,May raise user's Defense.,70,90,25
Sticky Web,Bug,Status,Lowers opponent's Speed when switching into battle.,-,-,20
Stockpile,Normal,Status,Stores energy for use with Spit Up and Swallow.,-,-,20
Stoked Sparksurfer,Electric,Special,Alolan Raichu-exclusive Electric type Z-Move.,175,-,1
Stomp,Normal,Physical,May cause flinching.,65,100,20
Stomping Tantrum,Ground,Physical,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",75,100,10
Stone Edge,Rock,Physical,High critical hit ratio.,100,80,5
Stored Power,Psychic,Status,Power increases when user's stats have been raised.,20,100,10
Storm Throw,Fighting,Physical,Always results in a critical hit.,60,100,10
Strength,Normal,Physical,,80,100,15
Strength Sap,Grass,Status,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,-,100,10
String Shot,Bug,Status,Sharply lowers opponent's Speed.,-,95,40
Struggle,Normal,Physical,Only usable when all PP are gone. Hurts the user.,50,100,-
Struggle Bug,Bug,Special,Lowers opponent's Special Attack.,50,100,20
Stun Spore,Grass,Status,Paralyzes opponent.,-,75,30
Submission,Fighting,Physical,User receives recoil damage.,80,80,20
Substitute,Normal,Status,Uses HP to creates a decoy that takes hits.,-,-,10
Subzero Slammer,Ice,Z-Move,Ice type Z-Move.,-,-,1
Sucker Punch,Dark,Physical,"User attacks first, but only works if opponent is readying an attack.",70,100,5
Sunny Day,Fire,Status,Makes it sunny for 5 turns.,-,-,5
Sunsteel Strike,Steel,Physical,Ignores the target's ability.,100,100,5
Super Fang,Normal,Physical,Always takes off half of the opponent's HP.,-,90,10
Superpower,Fighting,Physical,Lowers user's Attack and Defense.,120,100,5
Supersonic,Normal,Status,Confuses opponent.,-,55,20
Supersonic Skystrike,Flying,Z-Move,Flying type Z-Move.,-,-,1
Surf,Water,Special,Hits all adjacent Pokémon.,90,100,15
Swagger,Normal,Status,"Opponent becomes confused, but its Attack is sharply raised.",-,85,15
Swallow,Normal,Status,"The more times the user has performed Stockpile, the more HP is recovered.",-,-,10
Sweet Kiss,Fairy,Status,Confuses opponent.,-,75,10
Sweet Scent,Normal,Status,Lowers opponent's Evasiveness.,-,-,20
Swift,Normal,Special,Ignores Accuracy and Evasiveness.,60,∞,20
Switcheroo,Dark,Status,Swaps held items with the opponent.,-,100,15
Swords Dance,Normal,Status,Sharply raises user's Attack.,-,-,20
Synchronoise,Psychic,Special,Hits any Pokémon that shares a type with the user.,120,100,15
Synthesis,Grass,Status,User recovers HP. Amount varies with the weather.,-,-,5
Tackle,Normal,Physical,,40,100,35
Tail Glow,Bug,Status,Drastically raises user's Special Attack.,-,-,20
Tail Slap,Normal,Physical,Hits 2-5 times in one turn.,25,85,10
Tail Whip,Normal,Status,Lowers opponent's Defense.,-,100,30
Tailwind,Flying,Status,Doubles Speed for 4 turns.,-,-,30
Take Down,Normal,Physical,User receives recoil damage.,90,85,20
Taunt,Dark,Status,Opponent can only use moves that attack.,-,100,20
Tearful Look,Normal,Status,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,-,-,20
Techno Blast,Normal,Special,Type depends on the Drive being held.,120,100,5
Tectonic Rage,Ground,Z-Move,Ground type Z-Move.,-,-,1
Teeter Dance,Normal,Status,Confuses all Pokémon.,-,100,20
Telekinesis,Psychic,Status,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",-,-,15
Teleport,Psychic,Status,Allows user to flee wild battles; also warps player to last PokéCenter.,-,-,20
Thief,Dark,Status,Also steals opponent's held item.,60,100,25
Thousand Arrows,Ground,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,90,100,10
Thousand Waves,Ground,Physical,Opponent cannot flee or switch.,90,100,10
Thrash,Normal,Physical,User attacks for 2-3 turns but then becomes confused.,120,100,10
Throat Chop,Dark,Physical,Prevents use of sound moves for two turns.,80,100,15
Thunder,Electric,Special,May paralyze opponent.,110,70,10
Thunder Fang,Electric,Physical,May cause flinching and/or paralyze opponent.,65,95,15
Thunder Punch,Electric,Physical,May paralyze opponent.,75,100,15
Thunder Shock,Electric,Special,May paralyze opponent.,40,100,30
Thunder Wave,Electric,Status,Paralyzes opponent.,-,90,20
Thunderbolt,Electric,Special,May paralyze opponent.,90,100,15
Tickle,Normal,Status,Lowers opponent's Attack and Defense.,-,100,20
Topsy-Turvy,Dark,Status,Reverses stat changes of opponent.,-,-,20
Torment,Dark,Status,Opponent cannot use the same move in a row.,-,100,15
Toxic,Poison,Status,Badly poisons opponent.,-,90,10
Toxic Spikes,Poison,Status,Poisons opponents when they switch into battle.,-,-,20
Toxic Thread,Poison,Status,The user shoots poisonous threads to poison the target and lower the target's Speed stat.,-,100,20
Transform,Normal,Status,User takes on the form and attacks of the opponent.,-,-,10
Tri Attack,Normal,Special,"May paralyze, burn or freeze opponent.",80,100,10
Trick,Psychic,Status,Swaps held items with the opponent.,-,100,10
Trick Room,Psychic,Status,Slower Pokémon move first in the turn for 5 turns.,-,-,5
Trick-or-Treat,Ghost,Status,Adds Ghost type to opponent.,-,100,20
Triple Kick,Fighting,Physical,Hits thrice in one turn at increasing power.,10,90,10
Trop Kick,Grass,Physical,Lowers opponent's Attack.,70,100,15
Trump Card,Normal,Special,"The lower the PP, the higher the power.",-,∞,5
Twineedle,Bug,Physical,Hits twice in one turn. May poison opponent.,25,100,20
Twinkle Tackle,Fairy,Z-Move,Fairy type Z-Move.,-,-,1
Twister,Dragon,Special,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,40,100,20
Uproar,Normal,Special,User attacks for 3 turns and prevents sleep.,90,100,10
U-turn,Bug,Physical,User switches out immediately after attacking.,70,100,20
Vacuum Wave,Fighting,Status,User attacks first.,40,100,30
V-create,Fire,Physical,"Lowers user's Defense, Special Defense and Speed.",180,95,5
Veevee Volley,Normal,Physical,Power increases when player's bond is stronger.,-,∞,20
Venom Drench,Poison,Status,Lowers poisoned opponent's Special Attack and Speed.,-,100,20
Venoshock,Poison,Special,Inflicts double damage if the target is poisoned.,65,100,10
Vice Grip,Normal,Physical,,55,100,30
Vine Whip,Grass,Physical,,45,100,25
Vital Throw,Fighting,Physical,"User attacks last, but ignores Accuracy and Evasiveness.",70,∞,10
Volt Switch,Electric,Special,User must switch out after attacking.,70,100,20
Volt Tackle,Electric,Physical,User receives recoil damage. May paralyze opponent.,120,100,15
Wake-Up Slap,Fighting,Physical,"Power doubles if opponent is asleep, but wakes it up.",70,100,10
Water Gun,Water,Special,,40,100,25
Water Pledge,Water,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,80,100,10
Water Pulse,Water,Special,May confuse opponent.,60,100,20
Water Shuriken,Water,Special,Hits 2-5 times in one turn.,15,100,20
Water Sport,Water,Status,Weakens the power of Fire-type moves.,-,-,15
Water Spout,Water,Special,"The higher the user's HP, the higher the damage caused.",150,100,5
Waterfall,Water,Physical,May cause flinching.,80,100,15
Weather Ball,Normal,Special,Move's power and type changes with the weather.,50,100,10
Whirlpool,Water,Special,"Traps opponent, damaging them for 4-5 turns.",35,85,15
Whirlwind,Normal,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",-,-,20
Wide Guard,Rock,Status,Protects the user's team from multi-target attacks.,-,-,10
Wild Charge,Electric,Physical,User receives recoil damage.,90,100,15
Will-O-Wisp,Fire,Status,Burns opponent.,-,85,15
Wing Attack,Flying,Physical,,60,100,35
Wish,Normal,Status,The user recovers HP in the following turn.,-,-,10
Withdraw,Water,Status,Raises user's Defense.,-,-,40
Wonder Room,Psychic,Physical,Swaps every Pokémon's Defense and Special Defense for 5 turns.,-,-,10
Wood Hammer,Grass,Status,User receives recoil damage.,120,100,15
Work Up,Normal,Status,Raises user's Attack and Special Attack.,-,-,30
Worry Seed,Grass,Status,Changes the opponent's Ability to Insomnia.,-,100,10
Wrap,Normal,Physical,"Traps opponent, damaging them for 4-5 turns.",15,90,20
Wring Out,Normal,Special,"The higher the opponent's HP, the higher the damage.",-,100,5
X-Scissor,Bug,Physical,,80,100,15
Yawn,Normal,Status,Puts opponent to sleep in the next turn.,-,-,10
Zap Cannon,Electric,Special,Paralyzes opponent.,120,50,5
Zen Headbutt,Psychic,Physical,May cause flinching.,80,90,15
Zing Zap,Electric,Physical,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",80,100,10
Zippy Zap,Electric,Physical,High critical-hit ratio.,50,100,15
